Optimizer,Batch Size,F1-score,Validation Loss,Peak GPU Memory,Avg Gradient Norm,Training Time
SGD,8,0.3315143246930423,0.6934640595912933,1076.8876953125,2.0709766957759856,106.1305730342865
SGD,16,0.417607223476298,0.6941599206924438,1461.16650390625,1.4683633716106415,88.8232913017273
SGD,32,0.4334560757496055,0.6949037852741423,2287.76025390625,1.0480627405643463,83.41850805282593
AdamW,8,0.895843520782396,0.284296064440161,1333.25634765625,,116.25029516220093
AdamW,16,0.8941176470588236,0.26931047496199606,1726.41015625,,93.78014183044434
AdamW,32,0.8926829268292683,0.27693605612194727,2551.25390625,,86.14555358886719
AdaFactor,8,0.8976994615761136,0.2800581895895302,793.4130859375,,124.73420143127441
AdaFactor,16,0.8945561549779304,0.26739157634973526,1206.78662109375,,98.24749326705933
AdaFactor,32,0.8898765432098765,0.2699403885811094,2021.6396484375,,88.79478597640991
LAMB,8,0.6779456193353475,0.6633826282024383,1336.2265625,2.1888723933696745,131.74571824073792
LAMB,16,0.6252330640149161,0.679951497554779,1724.51171875,1.473677193760872,101.3179407119751
LAMB,32,0.5428571428571428,0.6870653014334421,2551.23046875,1.0388323080539703,90.28979516029358
Lion,8,0.8898765432098765,0.29177293786779046,1081.3876953125,,112.8709487915039
Lion,16,0.9051597051597051,0.2511450283229351,1470.16650390625,,92.14357709884644
Lion,32,0.8958024691358024,0.2619400762376331,2288.26025390625,,85.33990812301636
